ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory,,
Plagioclase, Jan. YC120, vol. I,0.00,"1,250,000,000.00","-1,250,000,000.00", -Infinity,0.00,,
Spodumain,"5,621,262,000.00","7,500,000.00","5,613,762,000.00",99.87,20.00,"112,275,200,000.00",0.00,,
Kernite,"67,500,000,000.00",0.00,"67,500,000,000.00",100.00,1.00,"67,500,000,000.00",0.00,,
Hedbergite,"19,000,000,000.00",0.00,"19,000,000,000.00",100.00,1.00,"19,000,000,000.00",0.00,,
Arkonor,"7,980,106,000.00","315,000,000.00","7,665,106,000.00",96.05,1.00,"7,665,106,000.00",0.00,,
Tritanium,"25,900,000,000.00","20,600,000,000.00","5,299,999,000.00",20.46,1.00,"5,299,999,000.00",0.00,,
Pyerite,"790,887,100.00","980,268.30","789,906,800.00",99.88,5.00,"3,949,534,000.00",11.11,,
Mexallon,"4,219,000.00","4,086,200.00","132,800.00",3.15,"26,879.00","3,569,531,000.00",18.31,,
Isogen,"11,668,000,000.00","8,194,000,000.00","3,474,000,000.00",29.77,1.00,"3,474,000,000.00",0.00,,
Nocxium,"6,349,997.00","4,939,000.00","1,410,997.00",22.22,"2,288.00","3,228,361,000.00",0.00,,
Zydrine,"11,500,000,000.00","9,254,900,000.00","2,245,101,000.00",19.52,1.00,"2,245,101,000.00",0.00,,
Megacyte,"800,000,000.00","219,000,000.00","581,000,000.00",72.63,3.00,"1,743,000,000.00",0.00,,
Garbage,"1,200,000,000.00","623,000,000.00","577,000,000.00",48.08,3.00,"1,731,000,000.00",27.78,,
Spiced Wine,"995,001,000.00","968,800,000.00","26,201,020.00",2.63,61.00,"1,598,263,000.00",38.74,,
Antibiotics,"10,000,000,000.00","8,584,444,000.00","1,415,556,000.00",14.16,1.00,"1,415,556,000.00",0.00,,
Enriched Uranium,"1,850,001.00",0.00,"1,850,001.00",100.00,740.00,"1,369,001,000.00",0.00,,
Frozen Plant Seeds,"1,500,000.00","1,000,000.00","500,000.00",33.33,"2,601.00","1,300,500,000.00",21.94,,
Carbonized Lead S,"10,480,470,000.00","9,190,000,000.00","1,290,471,000.00",12.31,1.00,"1,290,471,000.00",0.00,,
Nuclear S,"1,290,000,000.00","667,900,000.00","622,100,000.00",48.22,2.00,"1,244,200,000.00",10.00,,
Proton S,"900,000.00",998.97,"899,001.00",99.89,"1,240.00","1,114,761,000.00",0.00,,
Depleted Uranium S,"10,000,000,000.00","9,044,444,000.00","955,555,800.00",9.56,1.00,"955,555,800.00",0.00,,
Titanium Sabot S,"520,000,000.00","482,990,000.00","37,009,980.00",7.12,23.00,"851,229,600.00",0.00,,
Fusion S,"2,300,000,000.00","1,541,517,000.00","758,483,100.00",32.98,1.00,"758,483,100.00",0.00,,
Phased Plasma S,"2,000,000,000.00","1,317,830,000.00","682,170,500.00",34.11,1.00,"682,170,500.00",33.33,,
EMP S,"425,000,000.00","199,844,000.00","225,156,000.00",52.98,3.00,"675,467,800.00",0.00,,
Carbonized Lead M,"60,000.00","40,994.50","19,005.50",31.68,"33,956.00","645,350,800.00",0.00,,
Nuclear M,"1,200,000,000.00","600,000,000.00","600,000,000.00",50.00,1.00,"600,000,000.00",0.00,,
Proton M,"1,350,000,000.00","750,000,000.00","600,000,000.00",44.44,1.00,"600,000,000.00",0.00,,
Depleted Uranium M,"4,000,000,000.00","3,400,000,000.00","600,000,000.00",15.00,1.00,"600,000,000.00",0.00,,
Titanium Sabot M,"600,000,000.00","16,500,010.00","583,500,000.00",97.25,1.00,"583,500,000.00",0.00,,
Fusion M,"975,000,000.00","408,000,100.00","566,999,900.00",58.15,1.00,"566,999,900.00",0.00,,
Phased Plasma M,"1,000,000,000.00","444,800,000.00","555,200,000.00",55.52,1.00,"555,200,000.00",0.00,,
EMP M,"1,250,000,000.00","699,999,800.00","550,000,200.00",44.00,1.00,"550,000,200.00",0.00,,
Carbonized Lead L,"600,000,000.00","50,000,000.00","550,000,000.00",91.67,1.00,"550,000,000.00",0.00,,
Nuclear L,"200,000.00","4,090.00","195,910.00",97.96,"2,758.00","540,319,800.00",0.00,,
Proton L,"367,000,000.00","191,000,700.00","175,999,300.00",47.96,3.00,"527,998,000.00",0.00,,
Depleted Uranium L,"5,999,809,000.00","5,500,000,000.00","499,809,300.00",8.33,1.00,"499,809,300.00",0.00,,
Titanium Sabot L,"500,000,000.00","4,800,000.00","495,200,000.00",99.04,1.00,"495,200,000.00",0.00,,
Fusion L,"500,000,000.00","5,150,830.00","494,849,200.00",98.97,1.00,"494,849,200.00",0.00,,
Phased Plasma L,"349,000,000.00","194,401,200.00","154,598,800.00",44.30,3.00,"463,796,300.00",0.00,,
EMP L,"1,100,000,000.00","640,747,200.00","459,252,800.00",41.75,1.00,"459,252,800.00",0.00,,
Mjolnir Cruise Missile,"1,659,000,000.00","1,202,763,000.00","456,236,700.00",27.50,1.00,"456,236,700.00",0.00,,
Scourge Cruise Missile,"1,679,000,000.00","1,228,399,000.00","450,601,100.00",26.84,1.00,"450,601,100.00",0.00,,
Inferno Cruise Missile,"1,321,655,000.00","878,500,000.00","443,154,900.00",33.53,1.00,"443,154,900.00",0.00,,
Nova Cruise Missile,"999,897,900.00","560,000,000.00","439,897,900.00",43.99,1.00,"439,897,900.00",40.00,,
Nova Heavy Missile,"848,700,000.00","410,000,000.00","438,700,000.00",51.69,1.00,"438,700,000.00",0.00,,
Mjolnir Heavy Missile,"700,000,000.00","274,501,000.00","425,499,000.00",60.79,1.00,"425,499,000.00",0.00,,
Inferno Heavy Missile,"1,390,000,000.00","972,901,700.00","417,098,300.00",30.01,1.00,"417,098,300.00",0.00,,
Scourge Heavy Missile,"775,000,000.00","366,777,900.00","408,222,100.00",52.67,1.00,"408,222,100.00",0.00,,
Scourge Light Missile,"600,000,000.00","195,003,000.00","404,997,000.00",67.50,1.00,"404,997,000.00",0.00,,
