ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,AverageVolumeProfitMarginPotential,PotentialDailyProfit
Plagioclase,Metropolis,Jita,48,56.99,8.990002,15.7747,4087201,19404418,1.852866E+08,1.744457E+08
Spodumain,Metropolis,Jita,1309.98,2500.01,1190.03,47.60101,208,465,15993.94,553363.9
Kernite,Metropolis,Jita,378.95,243.86,135.09,35.64851,533673,1721792,4.020196E+07,2.325969E+08
Hedbergite,Metropolis,Jita,142.01,251.08,109.07,43.44034,61,6524,143005.6,711572.8
Arkonor,Metropolis,Jita,3500,2850,650,18.57143,1846,2478,40151.43,1610700
Tritanium,Metropolis,Jita,4.8,4.54,0.2600002,5.416671,335344377,10784073107,3.011512E+10,2.803861E+09
Pyerite,Metropolis,Jita,2.73,3.85,1.12,29.09091,26336844,2936911326,4.310179E+10,3.28934E+09
Mexallon,Metropolis,Jita,57.5,60.43,2.93,4.848586,75810481,971784313,2.539677E+09,2.847328E+09
Isogen,Metropolis,Jita,14.99,18.05,3.059999,16.95291,2389449,391751944,3.340921E+09,1.198761E+09
Nocxium,Metropolis,Jita,289.89,294.81,4.919983,1.668866,472608,81244735,6.818763E+07,3.997227E+08
Zydrine,Metropolis,Jita,485,507.99,22.98999,4.525678,133824,30830379,7.0067E+07,7.087901E+08
Megacyte,Metropolis,Jita,445.42,512.28,66.86002,13.05146,126687,17802729,1.170025E+08,1.190291E+09
Garbage,Metropolis,Jita,14.05,21.81,7.759999,35.58001,805630,8291,1.447964E+07,6251688
Spiced Wine,Metropolis,Jita,454.45,1800,1345.55,74.75278,20,10095,378024.8,1.358333E+07
Antibiotics,Metropolis,Jita,309.7,305.66,4.040009,1.304491,16595,610848,409246.2,2467831
Enriched Uranium,Metropolis,Jita,14004.01,14711.3,707.29,4.807801,49162,353092,966978.6,2.497384E+08
Frozen Plant Seeds,Metropolis,Jita,1.16,50,48.84,97.68,20,563,28424.88,27496.92
Carbonized Lead S,Metropolis,Jita,4.25,1.76,2.49,58.58823,15690,134508,4399918,334924.9
Nuclear S,Metropolis,Jita,2,2.35,0.3499999,14.89361,4316,59511,475299.9,20828.84
Proton S,Metropolis,Jita,2,10.19,8.19,80.37292,51976,79220,5272303,648811.8
Depleted Uranium S,Metropolis,Jita,8,5.76,2.24,28,135033,232752,5148976,521364.4
Titanium Sabot S,Metropolis,Jita,7.96,7,0.96,12.0603,71333,188489,1566766,180949.5
Fusion S,Metropolis,Jita,10.16,14.94,4.78,31.99464,59702,262004,5146435,1252379
Phased Plasma S,Metropolis,Jita,25,27,2,7.407407,132277,286501,1551030,573002
EMP S,Metropolis,Jita,20,15.79,4.21,21.05,234111,3157389,3.569554E+07,1.329261E+07
Carbonized Lead M,Metropolis,Jita,2.51,8.67,6.16,71.04959,319,36918,1322801,227414.9
Nuclear M,Metropolis,Jita,18,4.2,13.8,76.66666,100142,7118,4111633,1381960
Proton M,Metropolis,Jita,25,13.44,11.56,46.24,249500,107499,8253794,2884220
Depleted Uranium M,Metropolis,Jita,38.5,78.98,40.48,51.25348,41300,76061,3007554,3078950
Titanium Sabot M,Metropolis,Jita,30.72,69.11,38.39,55.54912,16000,83179,2754626,3193242
Fusion M,Metropolis,Jita,39.49,77.83,38.34,49.26121,91470,193302,7014107,7411199
Phased Plasma M,Metropolis,Jita,92.93,91.88,1.050003,1.129886,98300,483678,328784.4,507863.4
EMP M,Metropolis,Jita,50,58.09,8.09,13.92667,98741,774057,6077583,6262121
Carbonized Lead L,Metropolis,Jita,15,2.72,12.28,81.86667,2200,106309,4441594,1305475
Nuclear L,Metropolis,Jita,10.07,20.08,10.01,49.8506,10302,10680,522982.6,106906.8
Proton L,Metropolis,Jita,15.01,39.86,24.85,62.3432,185,38700,1212077,961695
Depleted Uranium L,Metropolis,Jita,14.1,25,10.9,43.6,200,142891,3119362,1557512
Titanium Sabot L,Metropolis,Jita,55,64.61,9.610001,14.87386,9080,491220,3720696,4720625
Fusion L,Metropolis,Jita,179.99,105.01,74.98,41.65787,58900,293498,7340076,2.200648E+07
Phased Plasma L,Metropolis,Jita,42.35,139.99,97.64001,69.74784,8904,77789,3023290,7595319
EMP L,Metropolis,Jita,94.31,140,45.69,32.63572,8240,203056,3447898,9277629
Mjolnir Cruise Missile,Metropolis,Jita,100,204.96,104.96,51.21,10500,1104317,2.854486E+07,1.159091E+08
Scourge Cruise Missile,Metropolis,Jita,194.92,137.32,57.59999,29.55058,53089,1111349,1.720491E+07,6.401369E+07
Inferno Cruise Missile,Metropolis,Jita,180,141.97,38.03,21.12778,66845,1216298,1.355497E+07,4.625581E+07
Nova Cruise Missile,Metropolis,Jita,76.65,99.99,23.34,23.34233,11270,195035,2407808,4552116
Nova Heavy Missile,Metropolis,Jita,17.14,24.66,7.52,30.49473,42192,295258,5145224,2220340
Mjolnir Heavy Missile,Metropolis,Jita,44.99,33,11.99,26.65037,22526,374624,5292097,4491743
