ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,PotentialDailyProfit
Sotiyo,Metropolis,Jita,"32,000,000,000.00","19,002,830,000.00","12,997,170,000.00",40.62,1.00,1.00,"12,997,170,000.00"
PLEX,Metropolis,Jita,"4,150,200.00","4,350,000.00","199,799.80",4.59,"27,324.00","2,672,689.00","5,459,329,000.00"
Large Skill Injector,Metropolis,Jita,"977,374,600.00","930,751,000.00","46,623,620.00",4.77,84.00,"6,428.00","3,916,384,000.00"
Supercapital Ship Assembly Array,Metropolis,Jita,"238,333,300.00","1,500,000,000.00","1,261,667,000.00",84.11,3.00,1.00,"3,785,000,000.00"
Fortizar,Metropolis,Jita,"11,667,000,000.00","8,135,250,000.00","3,531,750,000.00",30.27,1.00,4.00,"3,531,750,000.00"
Basilisk Emergency Response Squad SKIN (Permanent),Metropolis,Jita,"100,000,000.00","3,387,351,000.00","3,287,351,000.00",97.05,1.00,1.00,"3,287,351,000.00"
Men's CONCORD 'Solitaire' Survival Suit,Metropolis,Jita,"500,000,000.00","2,099,792,000.00","1,599,792,000.00",76.19,2.00,1.00,"3,199,584,000.00"
Nyx,Metropolis,Jita,"22,000,000,000.00","25,000,000,000.00","2,999,998,000.00",12.00,1.00,1.00,"2,999,998,000.00"
ORE Reinforced Bulkheads,Metropolis,Jita,"350,000,000.00","1,800,000,000.00","1,450,000,000.00",80.56,2.00,3.00,"2,900,000,000.00"
Galaxy Pack - Crystal,Metropolis,Jita,"130,000,000.00","2,500,000,000.00","2,370,000,000.00",94.80,1.00,1.00,"2,370,000,000.00"
Hel Blueprint,Metropolis,Jita,"19,000,000,000.00","17,000,000,000.00","2,000,001,000.00",10.53,1.00,1.00,"2,000,001,000.00"
Khumaak,Metropolis,Jita,"9,902.20","69,000.00","59,097.80",85.65,"33,332.00",2.00,"1,969,848,000.00"
Mizuro's Modified Ballistic Control System,Metropolis,Jita,"1,000,000,000.00","2,900,000,000.00","1,900,000,000.00",65.52,1.00,1.00,"1,900,000,000.00"
Guardian Emergency Response Squad SKIN (Permanent),Metropolis,Jita,"100,000,000.00","1,992,000,000.00","1,892,000,000.00",94.98,1.00,1.00,"1,892,000,000.00"
Oneiros Emergency Response Squad SKIN (Permanent),Metropolis,Jita,"100,000,000.00","1,950,000,000.00","1,850,000,000.00",94.87,1.00,2.00,"1,850,000,000.00"
Tatara,Metropolis,Jita,"5,000,000,000.00","6,779,494,000.00","1,779,494,000.00",26.25,1.00,1.00,"1,779,494,000.00"
Azbel,Metropolis,Jita,"4,481,833,000.00","3,592,753,000.00","889,080,100.00",19.84,2.00,4.00,"1,778,160,000.00"
Women's 'Gunner' Jacket (ORE),Metropolis,Jita,"800,000,000.00","219,900,000.00","580,100,000.00",72.51,3.00,1.00,"1,740,300,000.00"
Revelation Sarum SKIN (Permanent),Metropolis,Jita,"150,000,000.00","1,850,000,000.00","1,700,000,000.00",91.89,1.00,2.00,"1,700,000,000.00"
Brynn's Modified 500MN Microwarpdrive,Metropolis,Jita,"1,500,000.00","1,700,000,000.00","1,698,500,000.00",99.91,1.00,2.00,"1,698,500,000.00"
Brokara's Modified Large Armor Repairer,Metropolis,Jita,"947,333,300.00","416,000,000.00","531,333,300.00",56.09,3.00,2.00,"1,594,000,000.00"
Rorqual Sovereign Claim SKIN (Permanent),Metropolis,Jita,"50,000,000.00","1,613,979,000.00","1,563,979,000.00",96.90,1.00,1.00,"1,563,979,000.00"
Standup L-Set Reprocessing Monitor I,Metropolis,Jita,"8,450,000,000.00","7,000,000,000.00","1,450,000,000.00",17.16,1.00,1.00,"1,450,000,000.00"
Ragnarok Shakim Warlord SKIN (Permanent),Metropolis,Jita,"1,000,000,000.00","2,400,000,000.00","1,400,000,000.00",58.33,1.00,1.00,"1,400,000,000.00"
Estamel's Modified Co-Processor,Metropolis,Jita,"15,000,000.00","1,400,000,000.00","1,385,000,000.00",98.93,1.00,1.00,"1,385,000,000.00"
Khanid Eagle Insignia,Metropolis,Jita,"50,000.00","10,499,000.00","10,449,000.00",99.52,128.00,1.00,"1,337,472,000.00"
Rhea,Metropolis,Jita,"10,100,000,000.00","8,781,142,000.00","1,318,859,000.00",13.06,1.00,5.00,"1,318,859,000.00"
Anshar,Metropolis,Jita,"9,500,000,000.00","8,202,755,000.00","1,297,246,000.00",13.66,1.00,4.00,"1,297,246,000.00"
Marshal Firewatch SKIN (Permanent),Metropolis,Jita,"200,000,000.00","1,488,989,000.00","1,288,989,000.00",86.57,1.00,1.00,"1,288,989,000.00"
CONCORD Dual Giga Pulse Laser,Metropolis,Jita,"661,015.00","410,972,200.00","410,311,200.00",99.84,3.00,12.00,"1,230,934,000.00"
Genolution 'Auroral' AU-79,Metropolis,Jita,"2,800,000,000.00","3,997,000,000.00","1,197,000,000.00",29.95,1.00,4.00,"1,197,000,000.00"
Revelation,Metropolis,Jita,"1,001,667,000.00","1,575,504,000.00","573,837,200.00",36.42,2.00,1.00,"1,147,674,000.00"
Ahremen's Modified Dual Heavy Pulse Laser,Metropolis,Jita,"4,500,000.00","1,137,375,000.00","1,132,875,000.00",99.60,1.00,4.00,"1,132,875,000.00"
Thon's Modified Large Shield Booster,Metropolis,Jita,"1,296,000,000.00","170,000,000.00","1,126,000,000.00",86.88,1.00,1.00,"1,126,000,000.00"
Women's 'Blades' Headwear (gunmetal),Metropolis,Jita,"150,000,000.00","1,249,999,000.00","1,099,999,000.00",88.00,1.00,1.00,"1,099,999,000.00"
Marshal,Metropolis,Jita,"5,999,809,000.00","4,979,583,000.00","1,020,226,000.00",17.00,1.00,13.00,"1,020,226,000.00"
CONCORD XL Torpedo Launcher,Metropolis,Jita,"490,000,000.00","153,750,000.00","336,250,000.00",68.62,3.00,4.00,"1,008,750,000.00"
Aeon,Metropolis,Jita,"15,000,000,000.00","16,000,000,000.00","999,999,500.00",6.25,1.00,1.00,"999,999,500.00"
Federation Grand Prix CreoDron Package,Metropolis,Jita,"10,200,000.00","985,000,000.00","974,800,000.00",98.96,1.00,1.00,"974,800,000.00"
Federation Navy Inferno Auto-Targeting Cruise Missile I,Metropolis,Jita,400.00,"42,000,000.00","41,999,600.00",100.00,23.00,7.00,"965,990,800.00"
Chimera,Metropolis,Jita,"950,000,000.00","1,100,000.00","948,900,000.00",99.88,1.00,1.00,"948,900,000.00"
Gila Abyssal Firestorm SKIN (Permanent),Metropolis,Jita,"10,000,000.00","910,003,300.00","900,003,300.00",98.90,1.00,1.00,"900,003,300.00"
Rorqual Blood Raider Industrial Livery SKIN (Permanent),Metropolis,Jita,"1,400,000,000.00","2,300,000,000.00","900,000,000.00",39.13,1.00,1.00,"900,000,000.00"
Kronos Serpentis SKIN (Permanent),Metropolis,Jita,"420,000,000.00","1,290,000,000.00","870,000,000.00",67.44,1.00,1.00,"870,000,000.00"
Capital Hyperspatial Velocity Optimizer II,Metropolis,Jita,"470,000,000.00","192,874,800.00","277,125,200.00",58.96,3.00,24.00,"831,375,700.00"
Brynn's Modified Dual 250mm Railgun,Metropolis,Jita,"20,000,000.00","849,000,000.00","829,000,000.00",97.64,1.00,1.00,"829,000,000.00"
X-Large Ship Maintenance Array,Metropolis,Jita,"185,000,000.00","1,000,000,000.00","815,000,000.00",81.50,1.00,2.00,"815,000,000.00"
Golem Steel Cardinal SKIN (Permanent),Metropolis,Jita,"375,000,000.00","1,184,375,000.00","809,374,800.00",68.34,1.00,8.00,"809,374,800.00"
Caldari Titan,Metropolis,Jita,"5,500,000,000.00","6,300,000,000.00","799,999,500.00",12.70,1.00,1.00,"799,999,500.00"
Standup M-Set Moon Drilling Efficiency II,Metropolis,Jita,"2,440,000,000.00","1,640,717,000.00","799,283,100.00",32.76,1.00,1.00,"799,283,100.00"
Nidhoggur Blueprint,Metropolis,Jita,"1,150,000,000.00","1,400,000,000.00","250,000,000.00",17.86,3.00,1.00,"750,000,000.00"
Mizuro's Modified Rapid Heavy Missile Launcher,Metropolis,Jita,"1,700,000,000.00","950,000,000.00","750,000,000.00",44.12,1.00,1.00,"750,000,000.00"
High-grade Asklepian Omega,Metropolis,Jita,"2,000,000,000.00","1,253,939,000.00","746,060,700.00",37.30,1.00,7.00,"746,060,700.00"
Capital Nuclear Reactor Unit,Metropolis,Jita,"2,170.07","1,000,000.00","997,829.90",99.78,740.00,8.00,"738,394,200.00"
Shadow Serpentis Ion Blaster Cannon,Metropolis,Jita,"151,101,100.00","3,750,287.00","147,350,800.00",97.52,5.00,7.00,"736,754,000.00"
Galaxy Pack - Spectral,Metropolis,Jita,"4,930,000,000.00","5,648,335,000.00","718,335,000.00",12.72,1.00,6.00,"718,335,000.00"
'Ingenii' Ice Harvester Upgrade,Metropolis,Jita,"910,000,000.00","675,000,000.00","235,000,000.00",25.82,3.00,1.00,"705,000,000.00"
Selynne's Modified Reactor Control Unit,Metropolis,Jita,"1,500,000,000.00","800,000,000.00","700,000,000.00",46.67,1.00,1.00,"700,000,000.00"
Gila Abyssal Afterglow SKIN (Permanent),Metropolis,Jita,"1,000,000,000.00","1,700,000,000.00","700,000,000.00",41.18,1.00,1.00,"700,000,000.00"
Typhoon Yoiul Festival YC121 SKIN (Permanent),Metropolis,Jita,"1,950,000,000.00","1,250,001,000.00","699,999,000.00",35.90,1.00,2.00,"699,999,000.00"
'Excavator' Ice Harvesting Drone,Metropolis,Jita,"1,292,000,000.00","600,458,800.00","691,541,200.00",53.52,1.00,87.00,"691,541,200.00"
Covetor Rosada Dawn SKIN (Permanent),Metropolis,Jita,"10,000,000.00","700,000,000.00","690,000,000.00",98.57,1.00,1.00,"690,000,000.00"
Rattlesnake King's Ransom Darouen SKIN (Permanent),Metropolis,Jita,"1,000,000,000.00","323,001,600.00","676,998,400.00",67.70,1.00,1.00,"676,998,400.00"
Quad Mega Pulse Laser II,Metropolis,Jita,"425,000,000.00","203,503,200.00","221,496,800.00",52.12,3.00,27.00,"664,490,400.00"
Standup M-Set Asteroid Ore Grading Processor II,Metropolis,Jita,"4,400,000,000.00","3,739,990,000.00","660,010,000.00",15.00,1.00,1.00,"660,010,000.00"
Ishtar Serpentis SKIN (Permanent),Metropolis,Jita,"65,000,000.00","720,000,000.00","655,000,000.00",90.97,1.00,1.00,"655,000,000.00"
Unstable X-Large Ancillary Shield Booster Mutaplasmid,Metropolis,Jita,"200,000,000.00","846,000,000.00","646,000,000.00",76.36,1.00,1.00,"646,000,000.00"
Women's CONCORD 'Solitaire' Survival Suit,Metropolis,Jita,"700,000,000.00","1,345,000,000.00","644,999,900.00",47.96,1.00,1.00,"644,999,900.00"
Capital Deflection Shield Emitter,Metropolis,Jita,"3,392.07","1,000,000.00","996,607.90",99.66,641.00,441.00,"638,825,700.00"
Men's 'Sterling' Dress Shirt (white),Metropolis,Jita,1.00,"203,501,600.00","203,501,600.00",100.00,3.00,2.00,"610,504,900.00"
Standup M-Set Moon Ore Grading Processor I,Metropolis,Jita,"999,992,000.00","699,578,600.00","300,413,400.00",30.04,2.00,12.00,"600,826,900.00"
Cormorant Octopus Red Flight SKIN (Permanent),Metropolis,Jita,1.00,"600,000,000.00","600,000,000.00",100.00,1.00,1.00,"600,000,000.00"
Paladin Luminaire Rising SKIN (Permanent),Metropolis,Jita,"1,600,000,000.00","1,000,200,000.00","599,800,000.00",37.49,1.00,1.00,"599,800,000.00"
